Category,Default 24X24,Icon Name,Small 20X20,Icon Name S,Large 30X30,Icon Name L,XSmall 16X16,Icon Name XS,XLarge 60X60,con Name XL,Sizes,Type
WixBrands,,Bookings,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/BookingsS.svg,BookingsSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/BookingsL.svg,BookingsLarge,,,,,"Large 30X30, Small 20X20",Outline
WixBrands,,Events,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/EventsS.svg,EventsSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/EventsL.svg,EventsLarge,,,,,"Large 30X30, Small 20X20",Outline
WixBrands,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/BlogM.svg,Blog,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/BlogS.svg,BlogSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/BlogL.svg,BlogLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
WixBrands,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ForumsM.svg,Forums,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ForumsS.svg,ForumsSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ForumsL.svg,ForumsLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
WixBrands,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/HotelsM.svg,Hotels,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/HotelsS.svg,HotelsSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/HotelsL.svg,HotelsLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
WixBrands,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/StoresM.svg,Stores,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/StoresS.svg,StoresSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/StoresL.svg,StoresLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
"RCE, WixBrands",,AlignCenter,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/AlignCenter_Small_20X20.svg,AlignCenterSmall,,,,,,,Small 20X20,
"RCE, WixBrands",,AlignLeft,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/AlignLeft_Small_20X20.svg,AlignLeftSmall,,,,,,,Small 20X20,
"RCE, WixBrands",,AlignRight,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/AlignRight_Small_20X20.svg,AlignRightSmall,,,,,,,Small 20X20,
"RCE, WixBrands",,Bold,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Bold_Small_20X20.svg,BoldSmall,,,,,,,Small 20X20,
